OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
109090,7.17121E+18,7,2,32,213,2017,12,8,5,2,4,6,0,1,0,0,0,0,1,2.98253E+20,5.54912E+21,6.18123E+15,5.00601E+16
109091,7.17121E+18,7,2,35,125,2017,12,16,5,3,4,2,0,1,0,0,0,1,1,3.37229E+20,5.52152E+21,6.73694E+15,4.9824E+16
109092,7.17121E+18,7,1,43,62,2017,12,8,5,3,7,7,0,1,0,0,0,0,0,4.10794E+20,5.59261E+21,7.74273E+15,5.04786E+16
109093,7.17121E+18,7,1,32,2,2017,12,21,5,3,9,1,0,1,0,0,0,2,1,4.22365E+20,5.62537E+21,7.89891E+15,5.07749E+16
109094,7.1712E+18,7,2,33,76,2017,12,7,6,3,4,1,0,0,0,0,1,1,2,3.41582E+20,5.57602E+21,6.77486E+15,5.0315E+16
109095,7.17121E+18,7,1,32,36,2017,12,6,5,3,8,1,0,1,0,0,0,2,2,4.25842E+20,5.61906E+21,7.9495E+15,5.07186E+16
109096,7.17121E+18,7,1,32,63,2017,12,5,5,3,4,6,0,1,0,0,0,2,1,4.21304E+20,5.62831E+21,7.88324E+15,5.08011E+16
109097,7.17121E+18,7,1,31,6,2017,12,15,5,3,2,6,0,1,0,0,1,0,1,3.78991E+20,5.59732E+21,7.29315E+15,5.05153E+16
109098,7.17121E+18,7,1,11,0,2017,12,20,5,3,9,1,0,1,0,0,0,2,1,3.97999E+20,5.58233E+21,7.56525E+15,5.03842E+16
109099,7.17121E+18,7,1,11,0,2017,12,17,5,3,2,6,0,1,0,0,0,2,1,3.99571E+20,5.58055E+21,7.58783E+15,5.03685E+16
109100,7.17121E+18,7,1,11,0,2017,12,6,5,3,8,1,0,1,0,0,0,2,1,3.96391E+20,5.58337E+21,7.54235E+15,5.03932E+16
109101,7.17121E+18,7,3,36,48,2017,12,15,4,3,9,1,0,1,0,0,0,2,2,3.96363E+20,5.48778E+21,7.5677E+15,4.95337E+16
109102,7.17121E+18,7,3,35,22,2017,12,16,4,3,5,3,0,1,0,0,0,1,1,3.97646E+20,5.47342E+21,7.58914E+15,4.94049E+16
109103,7.17122E+18,7,1,32,40,2017,12,9,5,3,8,1,0,1,0,0,0,0,1,4.05989E+20,5.61446E+21,7.66949E+15,5.06744E+16
109104,7.17122E+18,7,3,19,0,2017,12,14,5,3,1,1,0,1,0,0,0,0,1,4.53697E+20,5.50052E+21,8.35849E+15,4.96554E+16
109105,7.17121E+18,7,3,36,102,2017,12,13,4,2,9,1,0,1,0,0,0,0,2,3.76962E+20,5.47394E+21,7.30397E+15,4.94057E+16
109106,7.17122E+18,7,1,35,45,2017,12,11,6,3,6,4,0,1,1,0,0,0,0,3.67414E+20,5.56586E+21,7.14103E+15,5.023E+16
109107,7.17121E+18,7,3,35,43,2017,12,16,4,3,4,2,0,1,0,0,0,0,2,3.97542E+20,5.48323E+21,7.58516E+15,4.9493E+16
109108,7.17121E+18,7,3,35,26,2017,12,8,4,3,5,3,0,1,0,1,0,0,1,4.16187E+20,5.48163E+21,7.84291E+15,4.94815E+16
109109,7.17121E+18,7,3,14,0,2017,12,6,4,3,2,6,0,1,0,0,1,2,1,4.53619E+20,5.48049E+21,8.35977E+15,4.94753E+16
109110,7.17121E+18,7,3,37,35,2017,12,7,4,2,8,1,0,0,0,0,1,2,2,4.39942E+20,5.45662E+21,8.17459E+15,4.92594E+16
109111,7.17121E+18,7,3,13,0,2017,12,12,4,3,2,6,0,1,0,0,0,0,0,4.35408E+20,5.44902E+21,8.11351E+15,4.91906E+16
109112,7.17121E+18,7,3,18,0,2017,12,16,4,3,0,5,1,1,0,0,0,0,1,4.58567E+20,5.46336E+21,8.42985E+15,4.93215E+16
109113,7.17121E+18,7,3,18,0,2017,12,9,4,3,0,1,0,0,0,1,0,0,2,4.58329E+20,5.4641E+21,8.4265E+15,4.93282E+16
109114,7.17121E+18,7,3,18,0,2017,12,6,4,3,4,2,0,1,0,0,0,2,2,4.57822E+20,5.46169E+21,8.41977E+15,4.93065E+16
109115,7.17122E+18,7,3,39,10,2017,12,15,3,2,4,2,0,1,0,0,0,1,1,4.49704E+20,5.52047E+21,8.3006E+15,4.98345E+16
109116,7.1712E+18,7,2,32,294,2017,12,10,6,3,8,1,0,1,0,0,0,0,2,2.96379E+20,5.54801E+21,6.15568E+15,5.00495E+16
109117,7.1712E+18,7,2,31,69,2017,12,9,6,3,9,1,0,1,0,0,0,0,2,3.47428E+20,5.53198E+21,6.87451E+15,4.99207E+16
109118,7.17121E+18,7,3,18,0,2017,12,5,4,3,8,1,0,1,0,0,0,2,2,4.57179E+20,5.46681E+21,8.41038E+15,4.93525E+16
109119,7.17122E+18,7,3,15,0,2017,12,15,3,3,5,3,1,1,0,0,0,0,1,4.46501E+20,5.53863E+21,8.25353E+15,4.99976E+16
109120,7.1712E+18,7,1,34,45,2017,12,15,6,3,2,1,0,1,0,0,0,0,1,3.78857E+20,5.50953E+21,7.31914E+15,4.97261E+16
109121,7.1712E+18,7,2,11,0,2017,12,7,6,3,5,3,1,1,0,0,0,0,2,3.29774E+20,5.51349E+21,6.63689E+15,4.97498E+16
109122,7.17121E+18,7,3,38,26,2017,12,16,4,3,8,1,0,0,0,1,0,2,1,4.59178E+20,5.47026E+21,8.43755E+15,4.93837E+16
109123,7.17122E+18,7,2,32,290,2017,12,7,3,3,1,6,0,1,0,0,1,2,1,3.13803E+20,5.56134E+21,6.39228E+15,5.0175E+16
109124,7.1712E+18,7,1,43,48,2017,12,15,6,3,4,6,0,1,0,0,0,0,1,4.15587E+20,5.58824E+21,7.81124E+15,5.04401E+16
109125,7.1712E+18,7,1,43,44,2017,12,14,6,3,8,1,0,1,0,0,0,0,1,4.09068E+20,5.59958E+21,7.7167E+15,5.05411E+16
109126,7.1712E+18,7,1,32,67,2017,12,7,6,3,2,6,0,1,0,0,0,1,1,4.05726E+20,5.61741E+21,7.66502E+15,5.07008E+16
109127,7.1712E+18,7,1,38,45,2017,12,7,6,2,5,3,1,1,0,0,0,2,1,3.92524E+20,5.58841E+21,7.48652E+15,5.04379E+16
109128,7.1712E+18,7,1,31,208,2017,12,17,6,3,4,1,0,1,0,0,1,2,2,3.66975E+20,5.59051E+21,7.12617E+15,5.04515E+16
