OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
202935,11,0,4,4,2018,7,14,5,3,0,1,0,0,1,0,1,0,0,1,7.91904E+20,5.82522E+21,1.3301E+16,5.24988E+16
202936,11,0,2,2,2018,7,18,7,3,5,2,0,1,1,0,0,0,0,0,8.03085E+20,5.82763E+21,1.34674E+16,5.25143E+16
202937,11,0,1,1,2018,7,13,4,3,5,2,0,1,1,0,0,0,0,0,7.97337E+20,5.83236E+21,1.33872E+16,5.25599E+16
202938,11,0,3,3,2018,7,23,7,3,6,4,2,0,1,1,0,0,0,0,8.02622E+20,5.82932E+21,1.34622E+16,5.25297E+16
202939,11,0,8,8,2018,7,12,4,3,0,5,0,0,1,0,0,0,0,0,8.05657E+20,5.81702E+21,1.34955E+16,5.24178E+16
202940,11,0,5,5,2018,7,14,5,3,2,6,0,0,1,0,0,0,0,1,7.83708E+20,5.82459E+21,1.31801E+16,5.24975E+16
202941,11,0,9,9,2018,7,13,4,3,5,2,0,0,1,0,0,0,0,0,8.07713E+20,5.81812E+21,1.35267E+16,5.24265E+16
202942,11,0,2,2,2018,7,13,5,3,0,6,0,0,0,0,1,0,1,1,7.98297E+20,5.82535E+21,1.3395E+16,5.24965E+16
202943,11,0,1,1,2018,7,23,7,3,2,6,2,0,1,0,1,0,0,0,7.97615E+20,5.82833E+21,1.33877E+16,5.25236E+16
202944,11,0,4,4,2018,7,12,4,3,0,6,0,0,0,0,1,0,1,0,7.90407E+20,5.82902E+21,1.32824E+16,5.25337E+16
202945,11,0,1,1,2018,7,21,7,3,0,1,1,1,0,0,0,0,0,0,7.9668E+20,5.82975E+21,1.33752E+16,5.25368E+16
202946,11,0,9,9,2018,7,12,5,3,5,7,0,0,1,0,0,0,0,1,8.09381E+20,5.819E+21,1.35519E+16,5.24335E+16
202947,11,0,12,12,2018,7,12,5,3,5,2,0,0,1,0,0,0,0,1,7.93278E+20,5.83258E+21,1.33277E+16,5.2564E+16
202948,11,0,4,4,2018,7,12,4,3,5,2,0,1,0,0,0,1,0,0,7.93794E+20,5.82692E+21,1.33303E+16,5.2513E+16
202949,11,0,2,2,2018,7,12,5,3,5,2,0,0,1,0,0,0,0,1,7.9837E+20,5.82634E+21,1.3397E+16,5.25053E+16
202950,11,0,3,3,2018,7,19,7,3,0,1,0,0,1,0,1,0,0,0,8.01147E+20,5.8304E+21,1.34415E+16,5.25402E+16
202951,11,0,2,2,2018,7,11,4,3,5,2,0,1,1,0,0,0,0,0,7.97858E+20,5.82564E+21,1.33889E+16,5.24993E+16
202952,11,0,1,1,2018,7,20,7,3,5,3,0,1,1,0,0,0,0,0,7.98508E+20,5.83023E+21,1.34025E+16,5.25402E+16
202953,11,0,4,4,2018,7,11,5,3,0,2,0,0,1,0,0,0,1,1,7.91939E+20,5.82611E+21,1.33023E+16,5.25067E+16
202954,11,0,1,1,2018,7,11,5,3,2,6,0,0,1,0,0,0,0,1,7.97024E+20,5.82893E+21,1.33795E+16,5.25293E+16
202955,11,0,12,12,2018,7,18,7,3,5,2,0,1,1,0,0,0,0,0,7.91906E+20,5.8315E+21,1.33066E+16,5.25552E+16
